uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:1dTxhLlIqMpySzMn758GXi,0.613,0.98,1,-0.291,1,0.377,0.191,0,0.835,0.321,140.037,aggressive
spotify:track:4d8BSdhx6WT5GtTOWpv4rh,0.729,0.799,11,-6.136,0,0.111,0.0573,4.18E-06,0.289,0.439,144.025,aggressive
spotify:track:6L1xCoabUfZUvYJ4NvPY2l,0.521,0.799,1,-3.418,1,0.119,0.00213,0.00238,0.197,0.58,129.991,aggressive
spotify:track:4d99Bcb8doOvy5VsKJVUBU,0.631,0.657,1,-7.923,1,0.104,0.000447,0.0123,0.54,0.137,114.819,aggressive
spotify:track:509tVeGxQtAkg4VsrQqnFC,0.566,0.876,10,-1.473,0,0.0639,0.015,0,0.091,0.0832,130.159,aggressive
spotify:track:0a7dm5jcVp3j0sQeq6GYyN,0.546,0.787,6,-3.357,0,0.0456,0.000821,0.672,0.0905,0.266,130.113,aggressive
spotify:track:2Eb5AK8EUN8oz5nlzSr4b7,0.618,0.98,4,-0.749,0,0.132,0.344,0,0.383,0.155,117.125,aggressive
spotify:track:0pKBj3LRjGJ6iinoPs33Rc,0.481,0.857,5,-2.034,1,0.0409,0.00011,2.75E-05,0.154,0.186,155.998,aggressive
spotify:track:0oWsCGzK0hUCUxTQ2HtNGy,0.245,0.852,9,-3.215,1,0.487,0.0329,0.242,0.76,0.165,170.312,aggressive
spotify:track:45IHQJ9qhPLz119sXzsydj,0.686,0.797,1,-9.339,1,0.541,0.135,5.45E-06,0.0766,0.486,134.861,aggressive
spotify:track:0QYXLSF8shBrQXcoGsBePR,0.547,0.971,9,-1.469,1,0.456,0.0891,0,0.251,0.495,160.159,aggressive
spotify:track:2YVjyeoxb2Pyzqbc6teqyq,0.652,0.883,6,-2.591,0,0.176,0.00634,0,0.315,0.0611,137.908,aggressive
spotify:track:1K86gziny1mnNIisKBqzhH,0.473,0.843,1,-5.981,1,0.225,0.00345,2.53E-05,0.102,0.24,71.647,aggressive
spotify:track:0T6wsLOq4GmZL4HtOseM4k,0.542,0.908,1,-2.857,1,0.0575,0.0966,0,0.134,0.509,78.048,aggressive
spotify:track:0pEmCGi4ZwJvXmGVvPeaDi,0.784,0.453,0,-5.545,0,0.35,0.0378,0.000375,0.356,0.0733,139.04,aggressive
spotify:track:74lnM5V6ecvoTPV0fvptx9,0.808,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,aggressive
spotify:track:07miQb315ezd5obb3PPzQB,0.638,0.946,10,-3.685,0,0.315,0.186,0,0.399,0.583,85.015,aggressive
spotify:track:540TGB8rGRvADQ3wS2zufL,0.768,0.85,0,-6.606,1,0.0458,0.0215,0,0.305,0.251,122.429,aggressive
spotify:track:0h9fXUdWJrA5hXnIGZktZw,0.569,0.854,7,-2.987,1,0.325,0.0164,0,0.218,0.148,136.151,aggressive
